timestamp_enter,timestamp_exit
1566385734.000000,1566385945.000000
1566386109.000000,1566386182.000000
1566386754.000000,1566386888.000000
1566386976.000000,1566387189.000000
1566387239.000000,1566387460.000000
1566388538.000000,1566388671.000000
1566389232.000000,1566389458.000000
1566389711.000000,1566389796.000000
1566389801.000000,1566390055.000000
1566391655.000000,1566391894.000000
1566391989.000000,1566392149.000000
1566392712.000000,1566392849.000000
1566393170.000000,1566393403.000000
1566394061.000000,1566394248.000000
1566394252.000000,1566394340.000000
1566395119.000000,1566395265.000000
1566395690.000000,1566395929.000000
1566396690.000000,1566396751.000000
1566396766.000000,1566396867.000000
1566398113.000000,1566398292.000000
1566398637.000000,1566399029.000000
