time (UTC),lat,lon,alt,bearing,bearing_change_rate,gsp,gsp avg,gsp stdev,ld,flying,circling
10:10:0,48.901583,12.511633,319.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True,False
10:10:1,48.901550,12.511633,319.000000,180.000000,0.000000,13.343391,0.000000,0.000000,999.900000,True,False
10:10:2,48.901517,12.511633,319.000000,180.000000,0.000000,13.343391,0.000000,0.000000,999.900000,True,False
10:10:3,48.901483,12.511633,319.000000,180.000000,0.000000,13.343391,0.000000,0.000000,999.900000,True,False
10:10:4,48.901467,12.511633,319.000000,180.000000,0.000000,6.671696,0.000000,0.000000,999.900000,True,False
10:10:5,48.901433,12.511633,319.000000,146.680815,0.000000,13.343391,0.000000,0.000000,999.900000,True,False
10:10:6,48.901417,12.511650,319.000000,161.805416,-3.638917,7.984093,0.000000,0.000000,999.900000,True,False
10:10:7,48.901383,12.511667,319.000000,146.680788,-6.663842,14.045651,0.000000,0.000000,999.900000,True,True
10:10:8,48.901367,12.511683,319.000000,146.680779,-6.663844,7.984095,0.000000,0.000000,999.900000,True,True
10:10:9,48.901350,12.511700,319.000000,127.257369,-10.548526,7.984096,0.000000,0.000000,999.900000,True,True
10:10:10,48.901333,12.511733,319.000000,127.257359,-3.884691,11.020373,0.000000,0.000000,999.900000,True,True
10:10:11,48.901317,12.511767,319.000000,127.257350,-6.909613,11.020375,0.000000,0.000000,999.900000,True,True
10:10:12,48.901300,12.511800,319.000000,89.999987,-11.336160,11.020378,0.000000,0.000000,999.900000,True,True
10:10:13,48.901300,12.511833,319.000000,116.888643,-5.958427,8.771387,0.000000,0.000000,999.900000,True,True
10:10:14,48.901283,12.511883,319.000000,89.999981,-7.451477,14.751961,0.000000,0.000000,999.900000,True,True
10:10:15,48.901283,12.511933,319.000000,116.888636,-2.073745,13.157085,0.000000,0.000000,999.900000,True,True
10:10:16,48.901267,12.511983,319.000000,89.999975,-7.451475,14.751965,0.000000,0.000000,999.900000,True,True
10:10:17,48.901267,12.512050,319.000000,110.822278,4.164458,17.542786,0.000000,0.000000,999.900000,True,False
