timestamp_enter,timestamp_exit
1553854383.000000,1553854557.000000
1553854601.000000,1553854739.000000
1553855079.000000,1553855431.000000
1553856237.000000,1553856387.000000
1553856613.000000,1553856841.000000
1553857101.000000,1553857439.000000
1553858265.000000,1553858343.000000
1553858379.000000,1553858459.000000
1553858583.000000,1553858651.000000
1553858665.000000,1553858799.000000
1553859089.000000,1553859187.000000
1553859355.000000,1553859643.000000
1553860039.000000,1553860119.000000
1553860485.000000,1553860551.000000
1553861503.000000,1553861607.000000
1553862107.000000,1553862251.000000
1553862283.000000,1553862503.000000
1553862567.000000,1553862663.000000
1553862913.000000,1553863027.000000
